date,temp_max,temp_min,temp_mean,precipitation,rain,et0,radiation,wind_max,soil_moisture_surface,soil_moisture_deep,soil_temp
2023-01-01,28.6,21.2,24.4,1.8,1.8,3.07,14.22,10.3,0.23466666666666666,0.26329166666666665,24.820833333333336
2023-01-02,31.0,22.1,25.8,6.2,6.2,3.77,18.18,8.9,0.26583333333333337,0.2604166666666667,26.083333333333332
2023-01-03,31.1,22.5,25.5,2.5,2.5,3.29,16.05,9.7,0.261125,0.25954166666666667,25.837500000000002
2023-01-04,30.5,22.5,25.6,0.4,0.4,3.4,14.72,15.9,0.24708333333333332,0.259625,25.570833333333336
2023-01-05,26.9,21.0,24.0,8.9,8.9,2.02,6.89,16.5,0.24945833333333334,0.258125,24.6375
2023-01-06,27.2,19.5,23.1,6.9,6.9,2.84,13.66,16.8,0.36191666666666666,0.31216666666666665,23.375
2023-01-07,25.9,21.1,23.1,15.7,15.7,2.03,9.33,13.6,0.3861666666666667,0.3685,23.925
2023-01-08,25.6,20.5,23.1,0.6,0.6,1.86,9.5,9.3,0.37716666666666665,0.366125,23.604166666666668
2023-01-09,27.8,22.1,24.4,1.7,1.7,2.59,13.29,15.2,0.3746666666666667,0.36670833333333336,24.40833333333333
2023-01-10,26.3,22.6,23.8,37.8,37.8,1.74,9.54,16.8,0.4166666666666667,0.40770833333333334,24.079166666666666
2023-01-11,27.5,23.0,24.6,6.4,6.4,2.67,13.99,17.2,0.40804166666666664,0.40370833333333334,24.645833333333332
2023-01-12,27.6,22.6,24.9,4.9,4.9,2.61,13.32,12.2,0.40020833333333333,0.3945,24.925
2023-01-13,30.1,22.6,25.5,1.2,1.2,3.43,17.19,7.1,0.392375,0.3937916666666667,25.787499999999998
2023-01-14,30.5,22.5,25.8,1.9,1.9,3.73,18.62,6.9,0.3762916666666667,0.381375,26.291666666666668
2023-01-15,30.9,23.0,26.4,0.3,0.3,4.23,20.74,9.6,0.3569166666666666,0.3682916666666667,26.575
2023-01-16,30.2,23.0,26.0,0.0,0.0,3.85,18.83,11.3,0.33875000000000005,0.35341666666666666,26.508333333333336
2023-01-17,29.5,22.2,25.3,2.7,2.7,3.69,18.77,10.8,0.330625,0.34308333333333335,26.145833333333332
2023-01-18,30.0,22.0,25.3,0.4,0.4,3.8,19.08,9.2,0.31983333333333336,0.3358333333333334,25.833333333333332
2023-01-19,30.4,22.5,25.4,0.7,0.7,3.83,18.63,8.7,0.30524999999999997,0.326625,26.275000000000002
2023-01-20,30.6,22.8,26.1,0.6,0.6,3.86,18.98,10.8,0.291875,0.3174166666666667,26.6125
2023-01-21,31.2,23.2,26.6,0.1,0.1,4.34,21.01,9.2,0.280875,0.3102916666666667,27.075
2023-01-22,30.8,23.3,26.5,0.5,0.5,4.14,19.82,12.4,0.2747916666666667,0.30345833333333333,27.079166666666666
2023-01-23,31.0,23.3,26.6,1.5,1.5,4.15,19.65,12.8,0.26945833333333336,0.298875,27.2
2023-01-24,31.2,23.5,26.5,0.7,0.7,4.4,20.74,17.1,0.25816666666666666,0.2917916666666666,27.229166666666668
2023-01-25,28.0,22.1,24.5,0.1,0.1,2.62,12.11,10.5,0.2574166666666667,0.2871666666666666,25.462500000000002
